SKU,Item,Footprint,Confidence,Status
IC-400-1115,LT1054 - Charge Pump IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1150,FV-1 Spin Multi-Effects IC,Library:IC-400-1150,REVIEW,custom SOIC-28 footprint based on FV-1 package family; verify body width before manufacturing
IC-400-1060,LM833N - Dual Op-Amp IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1136,Belton BTDR-2H - Reverb IC,Library:IC-400-1136,REVIEW,custom BTDR-2H module footprint; VERIFY pin spacing/orientation against module revision
IC-400-1100,OPA2134PA - Precision Dual OpAmp,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1197,LM13700N - Dual Transconductance Op-Amp IC,Library:DIP-16_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1095,LM386N-3 - Power Amplifier IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1050,LM324N - Quad Op-Amp IC,Library:DIP-14_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1085,CAT24C32LI-G - EEPROM IC,Library:DIP-8_W7.62mm,HIGH,mapped to 8-pin DIP form used by listed through-hole part
IC-400-1041,CD4046BE - Phase Locked Loop,Library:DIP-16_W7.62mm,HIGH,mapped to PDIP-16
IC-400-1046,CD4013BE - Dual Flip-Flop IC,Library:DIP-14_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1080,NE555P - Timer IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1189,LM386N-1 - Power Amplifier IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1093,CA3080AE - Transconductance Opamp,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1134,V2164D - Quad VCA IC,Library:DIP-16_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1139,24LC32A/P - EEPROM IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1049,LM311N - Comparator IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-3005,MN3005 - BBD IC,Library:DIP-14_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-4106,CD40106BE - Hex Schmitt-Trigger Inverters,Library:DIP-14_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1170,CD4027BE - CMOS Dual Flip-Flop IC,Library:DIP-16_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-3101,CT3101 - BBD Clock IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-3009,MN3009 - BBD IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1162,TC7662BCPA - Charge Pump IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1022,CD4044BE - CMOS Quad NAND IC,Library:DIP-16_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1090,LM380N - Power Amplifier IC,Library:DIP-14_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1031,V2153M - Sound Enhancement Processor IC,Library:IC-400-1031,REVIEW,custom DMP-20 approximation; VERIFY datasheet dimensions before manufacturing
IC-400-1196,JRC3404AD - Dual OpAmp IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1199,TL052CP - Dual Op-Amp IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1198,LM301AH - Military Grade OpAmp,Library:TO-99-8,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1168,LTC1044CS8 - Voltage Regulator IC,Library:SOIC-8_3.9x4.9mm_P1.27mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1061,CD4007CN - Triple Buffer/Line Driver IC,Library:DIP-14_W7.62mm,HIGH,mapped to PDIP-14
IC-400-1056,TL062CP - Dual Op-Amp IC,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1052,CD4069UBE - Hex Inverter - NOS,Library:DIP-14_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
IC-400-1051,MC1496P - Modulator/Demodulator IC - NOS Motorola,Library:DIP-14_W7.62mm,HIGH,mapped to PDIP-14
POT-41-,16mm Potentiometer - Short PCB Leg,Library:POT-41,REVIEW,"custom 16mm pot footprint, 5.0mm terminal pitch; verify support-tab positions"
POT-42-,16mm Potentiometer - Tall PCB Leg,Library:POT-42,REVIEW,"custom 16mm pot footprint, 5.0mm terminal pitch; verify support-tab positions"
POT-41-DG,16mm Dual Gang Potentiometer - Short PCB Leg,Library:POT-41-DG,REVIEW,custom dual-gang 16mm pot footprint; verify row spacing
POT-41-C,16mm Potentiometer - Short PCB Leg - Center Detent,Library:POT-41-C,REVIEW,"custom 16mm pot footprint, 5.0mm terminal pitch; verify support-tab positions"
POT-AL-41,16mm Potentiometer - Short PCB Leg - ALPHA,Library:POT-AL-41,REVIEW,"custom 16mm pot footprint, 5.0mm terminal pitch; verify support-tab positions"
POT-RAT-16mm,16mm Potentiometer - RAT,Library:POT-RAT-16mm,REVIEW,"custom 16mm pot footprint, 5.0mm terminal pitch; verify support-tab positions"
POT-RAT-24mm,24mm Potentiometer - RAT,Library:POT-RAT-24mm,REVIEW,custom 24mm pot footprint; verify mounting/support features
POT-REHX,16mm Potentiometer - EHX Russian,Library:POT-REHX,REVIEW,"custom 16mm pot footprint, 5.0mm terminal pitch; verify support-tab positions"
POT-42-C,16mm Potentiometer - Tall PCB Leg - Center Detent,Library:POT-42-C,REVIEW,"custom 16mm pot footprint, 5.0mm terminal pitch; verify support-tab positions"
POT-09-K,9mm Potentiometer - Knurled Shaft,Library:POT-09-K,REVIEW,custom 9mm snap-in pot footprint; verify support-tab spacing
FAD-30mm-,30mm Slide Potentiometer,Library:FAD-30mm,REVIEW,custom 30mm slide-pot footprint; VERIFY exact pin and mounting-hole locations
TRIM-3362-,Trim Pot 3362P Cermet,Library:TRIM-3362,HIGH,custom 3362P footprint based on standard package pattern
TRIM-3362M-,Trim Pot 3362M Cermet,Library:TRIM-3362M,HIGH,custom 3362M footprint based on standard package pattern
LED-5mm-D,5mm LED - Diffused - Pack of 10,Library:LED_D5.0mm,HIGH,local copy of KiCad 10.0.5 default footprint
LED-5mm-WC-,5mm LED - Waterclear - 10 Pack,Library:LED_D5.0mm,HIGH,local copy of KiCad 10.0.5 default footprint
LED-5mm-M-,5mm LED - Multi Color - 10 Pack,Library:LED_D5.0mm,HIGH,local copy of KiCad 10.0.5 default footprint
LED-1000-100,3mm Mini Bulb,Library:LED_D3.0mm,HIGH,local copy of KiCad 10.0.5 default footprint
LED-3mm-WC,3mm LED - Waterclear - 10 Pack,Library:LED_D3.0mm,HIGH,local copy of KiCad 10.0.5 default footprint
LED-3mm-D,3mm LED - Diffused - 10 Pack,Library:LED_D3.0mm,HIGH,local copy of KiCad 10.0.5 default footprint
LED-1000-103-MC,3mm LED - Multi Color - 10 Pack,Library:LED_D3.0mm,HIGH,local copy of KiCad 10.0.5 default footprint
LDR-P9203,9203 CdS LDR,Library:LDR-P9203,REVIEW,"custom LDR footprint; 5.08mm lead spacing, verify body diameter"
VAC-1053,VTL5C3 - Vactrol/Optocoupler,Library:VAC-1053,REVIEW,custom VTL5C3/VTL5C9 family footprint; verify pin numbering against device
VAC-1059,VTL5C9 - Vactrol/Optocoupler,Library:VAC-1059,REVIEW,custom VTL5C3/VTL5C9 family footprint; verify pin numbering against device
JACK-1012,"1/4"" TS Jack - PCB Mount - NMJ4HCD2",Library:JACK-1012,REVIEW,custom mechanical approximation for NMJ4HCD2; symbol currently exposes 2 nets only — VERIFY full switch-contact pinout before production
JACK-1013,"1/4"" TRS Jack - PCB Mount - NMJ6HCD2",Library:JACK-1013,REVIEW,custom mechanical approximation for NMJ6HCD2; symbol currently exposes 3 nets only — VERIFY switch-contact pinout before production
DC-1001,DC Power Jack 2.1mm - PCB Mount,Library:DC-1001,REVIEW,custom generic 2.1mm PCB DC jack footprint; VERIFY exact pin centers for StompBoxParts revision
SOC-DIP8,DIP8 IC Socket - 8 Pin,Library:DIP-8_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
SOC-TO5,TO5 Transistor Socket - 3 Pin,Library:SOC-TO5,REVIEW,custom TO-5/TO-18 3-pin socket footprint; verify socket pin circle
SOC-DIP16,DIP16 IC Socket - 16 Pin,Library:DIP-16_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
SOC-DIP14,DIP14 IC Socket - 14 Pin,Library:DIP-14_W7.62mm,HIGH,local copy of KiCad 10.0.5 default footprint
SOC-SIP36,SIP36 - 36 Pin Snappable In-line Socket,Library:PinHeader_1x36_P2.54mm_Vertical,HIGH,local copy of KiCad 10.0.5 default footprint
SOC-PH-20,Pin Header Socket - 20 pin,Library:PinHeader_1x20_P2.54mm_Vertical,HIGH,local copy of KiCad 10.0.5 default footprint
FSW-1028,3PDT Footswitch PRO - PCB Pin,Library:FSW-1028,REVIEW,"custom 3PDT PCB-pin footprint, 5.08mm grid; verify vendor orientation before production"
FSW-1018,3PDT Footswitch - PCB Pin - Alpha,Library:FSW-1018,REVIEW,"custom 3PDT PCB-pin footprint, 5.08mm grid; verify vendor orientation before production"
TOG-1006,SPDT Toggle Switch ON/ON - PCB Pin,Library:TOG-1006,REVIEW,custom mini-toggle PCB footprint; verify terminal pitch
TOG-1009,SPDT Toggle Switch ON/OFF/ON - PCB Pin,Library:TOG-1009,REVIEW,custom mini-toggle PCB footprint; verify terminal pitch
TOG-1013,DPDT Toggle Switch ON/ON - PCB Pin,Library:TOG-1013,REVIEW,custom mini-toggle PCB footprint; verify row/column pitch
TOG-1015,DPDT Toggle Switch ON/ON/ON - PCB Pin,Library:TOG-1015,REVIEW,custom mini-toggle PCB footprint; verify row/column pitch
DSW-1002,DIP Switch - 2 Position,Library:DSW-1002,HIGH,"custom standard DIP-switch footprint, 2.54mm pitch / 7.62mm row spacing"
DSW-1003,DIP Switch - 3 Position,Library:DSW-1003,HIGH,"custom standard DIP-switch footprint, 2.54mm pitch / 7.62mm row spacing"
DSW-1004,DIP Switch - 4 Position,Library:DSW-1004,HIGH,"custom standard DIP-switch footprint, 2.54mm pitch / 7.62mm row spacing"
DSW-1006,DIP Switch - 6 Position,Library:DSW-1006,HIGH,"custom standard DIP-switch footprint, 2.54mm pitch / 7.62mm row spacing"
DSW-1012,DIP Switch - 12 Position,Library:DSW-1012,HIGH,"custom standard DIP-switch footprint, 2.54mm pitch / 7.62mm row spacing"
IND-ME6,Wah Inductor ME-6,Library:IND-ME6,HIGH,custom footprint using StompBoxParts stated 14.4mm lead spacing
T-1001,TY-141P - Transformer,Library:T-1001,REVIEW,custom TY-141P footprint using published body size; VERIFY center-tap/physical pin mapping before production
T-1002,42TM018-RC - Transformer,Library:T-1002,REVIEW,custom 42TM018-RC footprint using published 22x17mm body; VERIFY 6-pin center-tap mapping before production
TOG-2001,DPDT Sub Mini Toggle Switch - ON/OFF/ON - PCB Mount,Library:TOG-2001,HIGH,Custom; dimensions from StompBoxParts listing
TOG-2002,DPDT Sub Mini Toggle Switch - ON/ON - PCB Mount,Library:TOG-2002,HIGH,Custom; dimensions from StompBoxParts listing
TOG-2003,DPDT Sub Mini Toggle Switch - ON/ON/ON - PCB Mount,Library:TOG-2003,HIGH,Custom; dimensions from StompBoxParts listing
